               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068072,            0.025701,            0.046867,             0.46262,             0.64809,             0.50181,             0.19984,            0.059263,            0.012169,             0.02891,            0.070075,            0.003325,            0.003325
                   1,            0.055803,            0.012475,            0.023722,             0.46201,             0.78521,             0.64563,             0.27156,            0.055397,           0.0091704,             0.01539,            0.040009,           0.0065924,           0.0065924
                   2,            0.051589,            0.010298,            0.014488,             0.74169,             0.95027,             0.83185,             0.38075,            0.051623,           0.0092398,           0.0061485,            0.009877,           0.0097939,           0.0097939
                   3,            0.044173,           0.0091647,           0.0074469,              0.9401,             0.95179,             0.96806,             0.45828,            0.036969,           0.0082993,           0.0040139,            0.009703,            0.009703,            0.009703
                   4,            0.040024,           0.0087496,           0.0056515,             0.92968,             0.94294,             0.91834,             0.39925,            0.044367,           0.0084978,           0.0032103,            0.009703,            0.009703,            0.009703
                   5,            0.037277,           0.0084925,           0.0047825,             0.94067,             0.94463,             0.93903,             0.37268,            0.046788,           0.0085678,            0.002754,            0.009604,            0.009604,            0.009604
                   6,            0.034751,           0.0082008,           0.0039447,             0.99552,             0.99442,             0.99357,             0.58275,             0.03163,           0.0078996,           0.0022696,            0.009505,            0.009505,            0.009505
                   7,            0.033123,            0.008024,           0.0039857,             0.99507,             0.98961,             0.99149,             0.53205,            0.032621,           0.0082254,           0.0023886,            0.009406,            0.009406,            0.009406
                   8,            0.032073,           0.0079388,           0.0034425,             0.98879,             0.99228,             0.99036,             0.47605,            0.037425,           0.0083575,           0.0020579,            0.009307,            0.009307,            0.009307
                   9,            0.031319,           0.0078483,           0.0032468,             0.99386,             0.99349,              0.9941,             0.51464,            0.035295,           0.0081545,           0.0018418,            0.009208,            0.009208,            0.009208
                  10,            0.030434,           0.0077245,           0.0031039,              0.9676,             0.98668,             0.98884,             0.51551,            0.034417,           0.0082832,           0.0019568,            0.009109,            0.009109,            0.009109
                  11,            0.030403,           0.0078572,           0.0031753,             0.99538,             0.99423,             0.99356,             0.53122,             0.03419,           0.0080564,           0.0016685,             0.00901,             0.00901,             0.00901
                  12,            0.029539,           0.0076429,           0.0028291,             0.99206,             0.98861,             0.99136,             0.52416,            0.034493,           0.0080138,           0.0015862,            0.008911,            0.008911,            0.008911
                  13,            0.029422,           0.0076177,           0.0028187,             0.99317,             0.99303,             0.99058,             0.49904,            0.035793,           0.0079935,           0.0015402,            0.008812,            0.008812,            0.008812
                  14,            0.029167,            0.007662,           0.0024941,             0.99554,             0.99605,             0.99438,             0.53983,            0.033057,           0.0078955,           0.0015348,            0.008713,            0.008713,            0.008713
                  15,            0.028617,           0.0074292,           0.0025001,             0.99129,             0.99235,             0.99022,             0.49552,            0.035843,           0.0081327,           0.0014406,            0.008614,            0.008614,            0.008614
                  16,            0.028927,           0.0074852,           0.0025063,             0.98828,             0.98901,             0.98731,             0.48117,            0.034597,           0.0081312,           0.0015451,            0.008515,            0.008515,            0.008515
                  17,            0.028514,           0.0074699,           0.0023554,             0.99552,             0.99583,             0.99374,             0.47785,            0.036422,           0.0081405,           0.0014987,            0.008416,            0.008416,            0.008416
                  18,            0.028098,           0.0074332,           0.0024007,             0.99089,             0.99132,             0.98965,              0.4643,            0.037479,           0.0082047,           0.0013641,            0.008317,            0.008317,            0.008317
                  19,             0.02817,           0.0074031,            0.002455,             0.99265,             0.99287,             0.99172,             0.49849,            0.036368,           0.0082227,           0.0013264,            0.008218,            0.008218,            0.008218
                  20,            0.028095,           0.0074171,           0.0023012,             0.99079,             0.99393,             0.99006,             0.52611,            0.033537,           0.0080585,           0.0013205,            0.008119,            0.008119,            0.008119
                  21,            0.028238,           0.0073833,           0.0024013,             0.99177,             0.99231,             0.99095,             0.50514,            0.033844,           0.0078574,            0.001297,             0.00802,             0.00802,             0.00802
                  22,            0.027723,           0.0074472,           0.0022189,             0.99353,              0.9944,             0.99352,             0.49967,            0.034279,            0.008078,           0.0013046,            0.007921,            0.007921,            0.007921
                  23,            0.027512,           0.0074258,           0.0022791,             0.98922,             0.98943,             0.98645,             0.49005,            0.035511,           0.0081875,           0.0012769,            0.007822,            0.007822,            0.007822
                  24,            0.027607,            0.007307,            0.002012,             0.99045,             0.99141,             0.98915,             0.49593,            0.034578,           0.0080156,           0.0013046,            0.007723,            0.007723,            0.007723
                  25,            0.027609,           0.0073447,           0.0020557,             0.99268,             0.99297,             0.99145,             0.49995,            0.035273,           0.0079188,            0.001238,            0.007624,            0.007624,            0.007624
                  26,            0.027423,           0.0072126,           0.0020289,             0.98817,             0.98754,             0.98475,             0.49071,            0.035173,           0.0079551,           0.0013506,            0.007525,            0.007525,            0.007525
                  27,            0.027137,            0.007287,           0.0020039,             0.99512,             0.99558,             0.99336,             0.50107,            0.035277,           0.0079894,           0.0011891,            0.007426,            0.007426,            0.007426
                  28,            0.027318,           0.0073515,           0.0020639,             0.99221,             0.99278,             0.99171,             0.49248,            0.035162,           0.0080018,           0.0012188,            0.007327,            0.007327,            0.007327
                  29,            0.026988,           0.0073031,           0.0021401,             0.99343,             0.99326,             0.99111,             0.50931,            0.034701,           0.0080715,           0.0012613,            0.007228,            0.007228,            0.007228
                  30,            0.027042,           0.0071195,            0.001878,             0.98963,             0.99041,             0.98813,             0.47977,            0.036218,           0.0081949,           0.0011404,            0.007129,            0.007129,            0.007129
                  31,            0.027041,            0.007265,           0.0018358,             0.99176,              0.9925,             0.98896,             0.51324,            0.034079,           0.0078815,           0.0011651,             0.00703,             0.00703,             0.00703
                  32,            0.026523,           0.0072146,           0.0019703,             0.99078,             0.99153,             0.98995,             0.50244,            0.034556,           0.0080184,           0.0011494,            0.006931,            0.006931,            0.006931
                  33,             0.02669,           0.0073113,           0.0019865,             0.99031,             0.99116,             0.98798,             0.48067,              0.0365,           0.0082426,            0.001151,            0.006832,            0.006832,            0.006832
